File,ID
C:/Users/lieve/OneDrive/Uni/Aerospace Master/1. Semester/Aerospace Strcutures/Assignment 2/AerospaceStructures_Assignment2/Analysis1.op2,2
Loadcase,ID,Step,ID
SUBCASE 1 = LC1 ,1,Simulation 1,0
SUBCASE 2 = LC2 ,2,Simulation 1,0
Stress
System=1,Corners=false,Aggregation Mode=none
method=Results Query

Elements,FileID,Loadcase,Step,Layer,XX,YY,ZZ,
9,2,1,0,average,-93.216644287109,23.232315063477,0.000000167551
10,2,1,0,average,-93.186965942383,23.774492263794,-0.000000464934
11,2,1,0,average,-93.291259765625,23.994823455811,-0.000000446918
12,2,1,0,average,-93.187179565430,23.768978118896,-0.000000380183
13,2,1,0,average,-92.898559570313,23.865177154541,-0.000000404048
14,2,1,0,average,-92.667808532715,23.797674179077,-0.000000205968
15,2,1,0,average,-92.896865844727,23.875495910645,-0.000000660628
16,2,1,0,average,-92.848129272461,23.997720718384,-0.000000028405
17,2,1,0,average,-92.417121887207,23.551530838013,-0.000000097498
18,2,1,0,average,-92.851898193359,23.989143371582,-0.000000292930
19,2,1,0,average,-93.090263366699,24.308460235596,0.000000161439
20,2,1,0,average,-94.090789794922,22.911554336548,0.000000191445
21,2,1,0,average,-93.092025756836,24.318344116211,-0.000000299362
22,2,1,0,average,-97.236541748047,23.155208587646,-0.000000534579
23,2,1,0,average,-98.803466796875,25.223894119263,-0.000000357337
24,2,1,0,average,-97.252830505371,23.159313201904,0.000000154541
25,2,1,0,average,-102.143157958984,20.297142028809,-0.000000643515
26,2,1,0,average,-95.446380615234,30.936164855957,-0.000000513392
27,2,1,0,average,-101.853057861328,20.305149078369,-0.000000698143
28,2,1,0,average,-68.130455017090,22.243989944458,-0.000000092608
29,2,1,0,average,-85.820945739746,27.109157562256,0.000000010477
30,2,1,0,average,-69.829574584961,22.185211181641,-0.000000344531
1,2,2,0,average,-24.851123809814,7.422191143036,-0.000000359432
2,2,2,0,average,-26.961479187012,8.493500709534,0.000000001339
3,2,2,0,average,-18.028989791870,7.624883174896,-0.000000117667
4,2,2,0,average,-30.058336257935,7.111361503601,-0.000000311935
5,2,2,0,average,-29.081291198730,9.362609863281,0.000000187603
6,2,2,0,average,-31.139553070068,7.066608428955,-0.000000221597
7,2,2,0,average,-30.731060028076,7.619117259979,-0.000000284897
8,2,2,0,average,-30.904575347900,8.254512786865,-0.000000210071
9,2,2,0,average,-30.620691299438,7.663548469543,-0.000000314700
10,2,2,0,average,-30.660861968994,7.835412979126,0.000000500615
11,2,2,0,average,-30.696498870850,7.894620418549,0.000000127184
12,2,2,0,average,-30.660358428955,7.807636260986,-0.000000438391
13,2,2,0,average,-30.570159912109,7.835347175598,-0.000000079744
14,2,2,0,average,-30.490306854248,7.829927444458,-0.000000212865
15,2,2,0,average,-30.562097549438,7.872792243958,-0.000000450440
16,2,2,0,average,-30.543502807617,7.911756515503,0.000000076136
17,2,2,0,average,-30.408023834229,7.749122142792,-0.000000547327
18,2,2,0,average,-30.557907104492,7.877326965332,-0.000000335975
19,2,2,0,average,-30.627380371094,7.979604244232,-0.000000245636
20,2,2,0,average,-30.959032058716,7.538569450378,-0.000000486558
21,2,2,0,average,-30.632949829102,8.019827842712,0.000000085391
22,2,2,0,average,-31.964982986450,7.610818862915,-0.000000574102
23,2,2,0,average,-32.509754180908,8.299458503723,-0.000000661763
24,2,2,0,average,-32.028762817383,7.628137588501,-0.000000047439
25,2,2,0,average,-34.132816314697,6.663730144501,-0.000000848348
26,2,2,0,average,-31.405036926270,10.178977966309,0.000000138883
27,2,2,0,average,-32.988716125488,6.695796012878,0.000000057975
28,2,2,0,average,-19.341850280762,7.425276756287,-0.000000241416
29,2,2,0,average,-28.237865447998,8.919726371765,0.000000013330
30,2,2,0,average,-26.050830841064,7.193183898926,-0.000000464934
